compound_id	BIOCHEMICAL	KEGG	PUBCHEM
CPD0832	PE(18:1/14:1)	NA	NA
CPD0833	PE(18:1/16:1)	NA	NA
CPD0834	PE(18:1/18:1)	NA	NA
CPD0835	PE(18:1/18:2)	NA	NA
CPD0836	PE(18:1/18:3)	NA	NA
CPD0837	PE(18:1/20:3)	NA	NA
CPD0838	PE(18:1/20:4)	NA	NA
CPD0839	PE(18:1/20:5)	NA	NA
CPD0840	PE(18:1/22:0)	NA	NA
CPD0841	PE(18:1/22:4)	NA	NA
CPD0842	PE(18:1/22:5)	NA	NA
CPD0843	PE(18:1/22:6)	NA	NA
CPD0844	PE(18:2/14:1)	NA	NA
CPD0845	PE(18:2/16:1)	NA	NA
CPD0846	PE(18:2/18:2)	NA	NA
CPD0847	PE(18:2/18:3)	NA	NA
CPD0848	PE(18:2/20:3)	NA	NA
CPD0849	PE(18:2/20:4)	NA	NA
CPD0850	PE(18:2/22:6)	NA	NA
CPD0851	PE(O-16:0/16:0)	NA	NA
CPD0852	PE(O-16:0/18:1)	NA	NA
CPD0853	PE(O-16:0/18:2)	NA	NA
CPD0854	PE(O-16:0/20:3)	NA	NA
CPD0855	PE(O-16:0/20:4)	NA	NA
CPD0856	PE(O-16:0/20:5)	NA	NA
CPD0857	PE(O-16:0/22:4)	NA	NA
CPD0858	PE(O-16:0/22:5)	NA	NA
CPD0859	PE(O-16:0/22:6)	NA	NA
CPD0860	PE(O-18:0/16:0)	NA	NA
CPD0861	PE(O-18:0/16:1)	NA	NA
CPD0862	PE(O-18:0/18:1)	NA	NA
CPD0863	PE(O-18:0/18:2)	NA	NA
CPD0864	PE(O-18:0/20:3)	NA	NA
CPD0865	PE(O-18:0/20:4)	NA	NA
CPD0866	PE(O-18:0/20:5)	NA	NA
CPD0867	PE(O-18:0/22:4)	NA	NA
CPD0868	PE(O-18:0/22:5)	NA	NA
CPD0869	PE(O-18:0/22:6)	NA	NA
CPD0870	PE(P-16:0/16:0)	NA	NA
